col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,mapeo osm estados,mapeo osm municipios,mapeo osm colonia,NUEVO MAPEO OSM,Es el mismo mapeo?
1018,Nagan Raya,Aceh,nagan-raya,50,3,,4.4699853;96.2647515,,lamudi-ID-1018,,#N/A,#N/A,#N/A,#N/A,#N/A
1019,Pidie,Aceh,pidie,50,3,,5.2961879;95.9551931,,lamudi-ID-1019,R8931187,#N/A,R8931187,#N/A,R8931187,TRUE
1020,Pidie Jaya,Aceh,pidie-jaya,50,3,,5.2359914;96.0296304,,lamudi-ID-1020,,#N/A,R8931187,#N/A,R8931187,FALSE
1021,Sabang,Aceh,sabang,50,3,,5.8520021;95.3207072,,lamudi-ID-1021,R9020791,#N/A,R9020791,#N/A,R9020791,TRUE
1022,Simeulue,Aceh,simeulue,50,3,,2.6155732;95.9831508,,lamudi-ID-1022,R8932307,#N/A,R8932307,#N/A,R8932307,TRUE
1023,Subulussalam,Aceh,subulussalam,50,3,,2.6575045;97.939602,,lamudi-ID-1023,R8922307,#N/A,R8922307,#N/A,R8922307,TRUE
1024,Badung,Bali,badung,51,3,,-8.549628;115.1945378,,lamudi-ID-1024,R14613953,#N/A,R14613953,#N/A,R14613953,TRUE
1025,Bangli,Bali,bangli,51,3,,-8.4054608;115.3777538,,lamudi-ID-1025,R14322004,#N/A,R14322004,#N/A,R14322004,TRUE
1026,Buleleng,Bali,buleleng,51,3,,-8.1601239;115.0868693,,lamudi-ID-1026,R14322007,#N/A,R14322007,#N/A,R14322007,TRUE
1027,Denpasar,Bali,denpasar,51,3,,-8.654178;115.2237668,,lamudi-ID-1027,R7789828,#N/A,R7789828,#N/A,R7789828,TRUE
1028,Gianyar,Bali,gianyar,51,3,,-8.4950742;115.2801311,,lamudi-ID-1028,R14613952,#N/A,R14613952,#N/A,R14613952,TRUE
1029,Jembrana,Bali,jembrana,51,3,,-8.3699893;114.6764374,,lamudi-ID-1029,R14322006,#N/A,R14322006,#N/A,R14322006,TRUE
